assignment,cluster,id,name,selected,shared name,taxonomy,value
strong,0,JQ452604.1.1398,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ452604.1.1398
strong,0,JQ447614.1.1398,unclassified_Neisseria,false,unclassified_Neisseria,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;unclassified_Neisseria,JQ447614.1.1398
strong,0,JQ468013.1.1397,Rothia_dentocariosa,false,Rothia_dentocariosa,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia_dentocariosa,JQ468013.1.1397
strong,0,HQ804994.1.1438,unclassified_Rothia,false,unclassified_Rothia,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;unclassified_Rothia,HQ804994.1.1438
strong,1,JF241367.1.1381,unclassified_Bacteria,false,unclassified_Bacteria,Root;Bacteria;unclassified_Bacteria,JF241367.1.1381
strong,0,JF219657.1.1381,unclassified_Actinomycetia,false,unclassified_Actinomycetia,Root;Bacteria;Actinobacteriota;Actinomycetia;unclassified_Actinomycetia,JF219657.1.1381
strong,0,GU561366.1.1374,unclassified_Leptotrichia,false,unclassified_Leptotrichia,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;unclassified_Leptotrichia,GU561366.1.1374
strong,1,HQ780549.1.1446,unclassified_Dysosmobacter,false,unclassified_Dysosmobacter,Root;Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Dysosmobacter;unclassified_Dysosmobacter,HQ780549.1.1446
strong,1,FJ363204.1.1363,Bacteroides_stercoris,false,Bacteroides_stercoris,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_stercoris,FJ363204.1.1363
strong,0,JQ462373.1.1304,Rothia_dentocariosa,false,Rothia_dentocariosa,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia_dentocariosa,JQ462373.1.1304
strong,1,FM996743.1.1462,Actinomyces_graevenitzii,false,Actinomyces_graevenitzii,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_graevenitzii,FM996743.1.1462
strong,1,HQ805067.1.1470,unclassified_Gemella,false,unclassified_Gemella,Root;Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;unclassified_Gemella,HQ805067.1.1470
strong,1,DQ341410.1.1477,unclassified_Tannerella,false,unclassified_Tannerella,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;unclassified_Tannerella,DQ341410.1.1477
strong,0,HM269617.1.1370,Actinomyces_sp002999235,false,Actinomyces_sp002999235,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces_sp002999235,HM269617.1.1370
