id,P-001,P-003,P-004,P-005,P-006,P-007,P-008,P-009,P-010,P-011,P-012,P-013,P-014,P-015,P-016,P-017,P-018,P-019,P-020,P-021,P-023,P-024,P-025,P-026,P-027,P-028,P-029,P-030,P-031,P-032,P-033,P-034,P-035,P-037,P-038,P-039,P-041,P-042,P-043,P-044,P-045,P-046,P-047,P-048,P-050,P-051,P-052,P-053,P-054,P-055,P-056,P-058,P-059,P-060,P-062,P-063,P-064,P-065,P-066,P-067,P-068,P-070,P-072,P-073,P-074,P-075,P-077,P-078,P-079,P-080,P-082,P-083,P-085,P-086,P-087,P-088,P-089,P-090,P-091,P-092,P-093,P-094,P-097,P-098,Taxonomy
ASV0003,1522,2285,850,1238,619,473,793,405,361,1121,699,282,373,387,372,2167,1650,486,379,1784,601,575,605,1757,300,1124,7,495,616,451,1562,646,1918,928,1634,821,549,1286,385,2226,406,780,595,840,576,2229,738,671,917,679,470,368,544,437,335,1236,306,3,10,653,650,671,559,9141,5789,2761,847,2747,700,580,1204,892,1139,833,698,844,644,1528,1470,1927,552,1264,744,2553,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV0004,1396,1455,1379,861,1201,302,1495,15,719,405,415,299,1000,959,642,1642,1877,1384,434,969,22,1740,1061,1244,804,1082,3,1060,73,1066,1515,607,1475,1108,1341,1481,11,1199,160,2199,302,940,13,1648,1006,1444,39,393,783,1338,985,1004,1255,1093,251,690,97,5,5,76,1492,346,782,8672,85,1797,79,1191,1089,31,319,751,1905,1427,1793,1323,1494,573,1762,1349,23,2485,1320,1013,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;
ASV0005,1485,1632,2005,2229,1339,1979,1768,1375,1471,1034,1360,920,1225,1043,1115,1874,2876,1125,1750,1535,3174,1234,1367,1910,1371,1779,7,1624,1838,1482,1926,2312,1923,1629,1752,1863,2654,1881,1928,2235,1611,2584,2614,2504,1394,1281,1701,1582,1451,1757,1501,1443,1447,1754,1807,871,1699,13,37,3077,2488,2417,2228,34524,27582,2098,2901,2087,2261,2262,3742,2912,2143,2056,1983,2493,1556,2293,2359,1516,2025,2339,1550,2031,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
ASV0012,531,454,525,488,403,619,372,263,290,191,256,207,320,225,220,393,774,516,566,384,545,490,314,754,344,300,0,321,456,216,508,478,395,413,604,385,598,634,380,451,332,575,728,471,385,504,373,317,538,495,307,313,464,366,364,271,364,1,4,644,500,516,598,5429,5372,609,667,618,500,538,895,499,522,757,649,595,692,735,495,298,525,557,859,669,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
ASV0014,1587,1079,935,862,1341,1072,1081,364,593,465,313,376,761,709,640,1145,1093,1066,1154,950,733,1492,804,1130,653,845,5,905,538,881,1596,786,1148,516,907,999,573,968,427,1350,788,1023,746,1498,1057,1367,550,677,1224,1215,909,867,1039,1100,892,867,392,2,13,659,1424,760,848,8781,5985,1011,818,1106,1020,510,1254,903,1263,1603,1200,1534,1293,1248,1126,902,505,1708,1551,1310,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;Veillonella magna
ASV0017,445,376,1265,353,1640,1674,1441,1272,1095,226,395,663,981,761,677,519,1074,1866,1307,834,2469,2595,1223,1241,1037,166,7,921,721,844,260,1261,540,604,1134,1146,2109,1147,1430,426,810,865,2582,443,1538,586,1425,968,1902,2078,908,911,1442,1137,928,330,1048,9,18,2098,1479,1345,2250,9684,18656,485,2534,686,1194,1793,1996,2574,1357,2363,2655,1009,2517,2142,213,297,1351,1743,2811,932,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV0020,108,80,5,7,3,5,88,16,37,0,33,13,18,25,30,10,30,25,10,27,28,41,62,26,64,7,0,102,83,45,94,23,11,9,22,28,167,49,50,27,89,11,52,0,5,17,40,7,48,50,17,14,18,6,38,12,107,0,2,41,31,107,45,1375,609,42,74,99,94,125,71,41,14,52,64,26,143,60,10,8,38,59,5,77,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;
ASV0021,108,84,240,139,0,213,92,7,4,27,18,117,133,107,51,74,29,7,248,59,0,0,97,10,0,88,0,142,153,94,110,101,63,21,2,191,3,8,1,92,127,217,0,159,0,176,0,114,5,2,152,88,0,187,116,79,12,0,0,101,196,308,160,1961,5,184,12,162,137,5,264,106,258,307,234,201,402,1,95,54,3,188,391,196,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile
ASV0023,262,228,416,200,233,697,672,274,335,282,243,217,345,274,360,246,314,515,546,188,618,671,347,432,130,171,0,347,542,642,295,549,133,88,323,580,607,277,253,402,726,791,577,750,219,247,498,404,451,477,536,319,512,405,273,230,395,3,9,565,496,679,612,8223,5090,219,822,902,452,795,677,698,659,1057,754,680,1072,731,228,633,443,618,781,666,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;
ASV0025,76,53,53,84,29,180,44,64,74,38,91,70,99,51,71,55,150,147,90,63,99,192,51,87,58,43,2,136,216,38,60,187,58,125,63,43,205,89,77,137,151,279,92,272,14,78,11,88,73,126,101,94,131,152,152,52,114,1,0,127,121,119,308,2820,1280,50,164,63,157,144,354,41,119,195,354,225,336,107,84,78,121,72,260,112,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;
