id,P-001,P-003,P-004,P-005,P-006,P-007,P-008,P-009,P-010,P-011,P-012,P-013,P-014,P-015,P-016,P-017,P-088,P-089,P-090,P-091,P-092,P-093,P-094,P-097,P-098,Taxonomy
ASV0003,1522,0,850,1238,0,0,0,1405,0,0,0,0,0,1465,0,0,844,644,1528,1470,1927,552,1264,744,2553,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV0004,1396,1455,1379,861,1201,302,1495,15,719,405,415,299,1000,959,642,1642,1323,1494,573,1762,1349,23,2485,1320,1013,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;
ASV0005,1485,1632,2005,2229,1339,1979,1768,1375,1471,1034,1360,920,1225,1043,1115,1874,2493,1556,2293,2359,1516,2025,2339,1550,2031,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella aerofaciens
ASV0012,531,454,525,488,403,619,372,263,290,191,256,207,320,225,220,393,595,692,735,495,298,525,557,859,669,Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii
ASV0014,1587,1079,935,862,1341,1072,1081,364,593,465,313,376,761,709,640,1145,1534,1293,1248,1126,902,505,1708,1551,1310,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;Veillonella magna
ASV0017,445,376,1265,353,1640,1674,1441,1272,1095,226,395,663,981,761,677,519,1009,2517,2142,213,297,1351,1743,2811,932,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
ASV0020,108,80,5,7,3,5,88,16,37,0,33,13,18,25,30,10,26,143,60,10,8,38,59,5,77,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;
ASV0021,108,84,240,139,0,213,92,7,4,27,18,117,133,107,51,74,201,402,1,95,54,3,188,391,196,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile
ASV0023,262,228,416,200,233,697,672,274,335,282,243,217,345,274,360,246,680,1072,731,228,633,443,618,781,666,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;
ASV0025,76,53,53,84,29,180,44,64,74,38,91,70,99,51,71,55,225,336,107,84,78,121,72,260,112,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;
ASV0026,20,36,147,60,3,642,149,111,99,24,35,151,185,81,182,18,204,427,3,45,52,67,213,668,124,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;unknown;
ASV0028,19,170,77,323,540,716,67,14,56,110,71,299,26,84,87,23,793,104,65,470,445,107,307,491,331,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus;
ASV0029,18,8,6,18,6,30,3,0,0,4,2,4,7,12,10,4,21,14,17,35,2,0,22,18,24,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Clostridium paraputrificum
ASV0043,409,235,224,193,294,242,259,93,102,103,92,83,138,126,138,233,350,296,306,258,187,141,366,330,297,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
ASV0044,14,0,18,10,16,63,10,32,26,6,8,6,5,4,9,4,19,36,35,6,18,44,17,53,51,Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;Erysipelatoclostridium ramosum
ASV0045,251,24,580,85,693,786,47,232,61,639,8,468,149,506,614,75,391,314,331,39,473,224,50,850,534,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
ASV0048,28,22,18,16,20,3,13,10,6,4,18,1,5,8,4,11,14,101,42,13,9,19,25,17,17,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum
ASV0050,14,29,0,2,5,46,2,160,61,2,5,0,22,2,142,67,147,97,213,0,0,13,4,38,14,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
ASV0051,0,1,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Negativicoccus;Negativicoccus succinicivorans
ASV0056,2,122,95,118,0,111,64,1,0,102,35,25,26,72,15,115,75,19,1,62,57,0,104,33,147,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Clostridium neonatale
ASV0060,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,4,0,0,0,1,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
ASV0061,0,0,0,0,0,0,61,0,76,0,0,0,0,0,0,0,5,0,0,0,0,124,10,0,1,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
ASV0066,29,119,47,124,0,142,57,1,1,20,28,58,27,41,18,31,42,137,0,139,122,0,100,183,172,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;
ASV0068,3,6,17,0,10,15,1,2,4,0,0,0,5,0,0,4,13,11,5,0,0,3,4,7,0,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;
ASV0069,101,65,100,50,0,141,106,74,49,17,18,55,79,62,71,77,171,174,140,39,62,103,225,177,127,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV0079,55,32,12,18,51,20,17,39,39,14,12,7,5,4,6,56,23,27,80,5,31,65,21,31,80,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
ASV0080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus radiodurans
ASV0084,51,39,46,31,1,84,69,51,38,12,14,32,46,34,51,47,93,101,83,23,44,48,132,87,69,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV0090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mutans
ASV0097,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unknown;
ASV0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;
ASV0103,0,0,0,47,0,9,0,0,0,35,0,0,108,2,0,0,0,7,0,39,5,0,0,24,45,Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;
ASV0107,32,49,19,21,39,51,18,11,20,5,18,11,17,17,11,20,43,82,57,34,36,38,58,101,59,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;Eggerthella lenta
ASV0117,0,0,5,0,0,0,3,0,73,2,0,0,0,0,0,3,12,0,0,0,0,25,0,0,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
ASV0119,16,10,5,11,3,17,10,3,4,4,0,0,5,4,3,4,10,11,14,13,4,5,5,13,7,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;
ASV0122,20,15,4,13,0,12,0,5,11,5,2,3,0,3,5,12,18,13,8,9,4,7,12,8,22,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;
ASV0123,0,0,0,0,0,3,2,0,0,5,1,8,2,9,0,0,20,7,0,0,1,0,0,2,3,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV0128,3,0,0,0,0,5,0,113,12,0,0,0,0,0,9,1,0,0,474,0,0,86,0,8,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
ASV0133,0,0,0,9,0,1,0,0,0,0,3,3,1,5,0,0,0,4,0,5,5,0,0,2,8,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;Propionibacterium acidifaciens
ASV0138,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,1,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;
ASV0139,30,12,17,6,0,21,23,13,11,7,5,13,16,5,13,12,33,36,28,6,16,15,34,33,20,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV0142,8,2,14,8,5,33,8,19,15,7,19,15,31,10,18,0,36,69,25,9,11,32,13,51,24,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group;
ASV0145,22,9,16,11,0,26,29,16,8,5,3,9,13,18,15,8,33,30,22,3,17,19,38,26,19,Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
ASV0146,29,24,20,35,23,24,9,12,22,9,6,4,11,9,7,11,32,32,56,34,18,16,19,27,35,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;
ASV0158,0,0,0,3,0,0,1,52,164,0,21,0,1,0,1,0,349,0,0,0,0,453,0,0,0,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;
ASV0160,2,1,2,0,3,1,0,0,0,0,0,0,1,0,0,1,4,0,11,0,0,0,0,0,0,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus;
ASV0162,7,21,13,21,0,31,8,0,0,6,6,8,4,0,0,4,8,36,0,31,23,0,15,36,34,Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;
