"assignment","cluster","id","microbetag::cluster","name","selected","shared name","value"
"strong","1.0","AM180355.124152.125658","1","AM180355.124152.125658","false","AM180355.124152.125658","AM180355.124152.125658"
"strong","1.0","FN562933.1.1417","1","FN562933.1.1417","false","FN562933.1.1417","FN562933.1.1417"
"strong","0.0","AF481228.1.1480","0","AF481228.1.1480","false","AF481228.1.1480","AF481228.1.1480"
"strong","0.0","GU430992.1.1337","0","GU430992.1.1337","false","GU430992.1.1337","GU430992.1.1337"
"strong","0.0","JQ466371.1.1389","0","JQ466371.1.1389","false","JQ466371.1.1389","JQ466371.1.1389"
"strong","1.0","JQ470979.1.1411","1","JQ470979.1.1411","false","JQ470979.1.1411","JQ470979.1.1411"
"strong","1.0","JQ452745.1.1338","1","JQ452745.1.1338","false","JQ452745.1.1338","JQ452745.1.1338"
"strong","0.0","JF146112.1.1352","0","JF146112.1.1352","false","JF146112.1.1352","JF146112.1.1352"
"strong","0.0","AY186077.1.1387","0","AY186077.1.1387","false","AY186077.1.1387","AY186077.1.1387"
"strong","0.0","JQ465174.1.1395","0","JQ465174.1.1395","false","JQ465174.1.1395","JQ465174.1.1395"
"strong","0.0","HM831900.1.1355","0","HM831900.1.1355","false","HM831900.1.1355","HM831900.1.1355"
"strong","0.0","JQ452514.1.1404","0","JQ452514.1.1404","false","JQ452514.1.1404","JQ452514.1.1404"
"strong","0.0","AY005060.1.1490","0","AY005060.1.1490","false","AY005060.1.1490","AY005060.1.1490"
"strong","0.0","JQ447876.1.1388","0","JQ447876.1.1388","false","JQ447876.1.1388","JQ447876.1.1388"
"strong","0.0","GQ167664.1.1453","0","GQ167664.1.1453","false","GQ167664.1.1453","GQ167664.1.1453"
"strong","0.0","HE681357.1.1537","0","HE681357.1.1537","false","HE681357.1.1537","HE681357.1.1537"
"strong","1.0","JQ465868.1.1424","1","JQ465868.1.1424","false","JQ465868.1.1424","JQ465868.1.1424"
"strong","1.0","JQ457856.1.1415","1","JQ457856.1.1415","false","JQ457856.1.1415","JQ457856.1.1415"
"strong","0.0","JQ469965.1.1391","0","JQ469965.1.1391","false","JQ469965.1.1391","JQ469965.1.1391"
"strong","1.0","HM294868.1.1365","1","HM294868.1.1365","false","HM294868.1.1365","HM294868.1.1365"
"strong","1.0","JQ450002.1.1378","1","JQ450002.1.1378","false","JQ450002.1.1378","JQ450002.1.1378"
"strong","0.0","JQ472380.1.1362","0","JQ472380.1.1362","false","JQ472380.1.1362","JQ472380.1.1362"
"strong","0.0","JQ449390.1.1395","0","JQ449390.1.1395","false","JQ449390.1.1395","JQ449390.1.1395"
"strong","1.0","AM420097.1.1495","1","AM420097.1.1495","false","AM420097.1.1495","AM420097.1.1495"
"strong","1.0","JQ471841.1.1372","1","JQ471841.1.1372","false","JQ471841.1.1372","JQ471841.1.1372"
"strong","0.0","JQ467968.1.1399","0","JQ467968.1.1399","false","JQ467968.1.1399","JQ467968.1.1399"
"strong","0.0","JQ460064.1.1392","0","JQ460064.1.1392","false","JQ460064.1.1392","JQ460064.1.1392"
"strong","1.0","JQ471950.1.1399","1","JQ471950.1.1399","false","JQ471950.1.1399","JQ471950.1.1399"
"strong","0.0","JQ475256.1.1376","0","JQ475256.1.1376","false","JQ475256.1.1376","JQ475256.1.1376"
"strong","0.0","JQ452513.1.1300","0","JQ452513.1.1300","false","JQ452513.1.1300","JQ452513.1.1300"
"strong","0.0","JQ456402.1.1320","0","JQ456402.1.1320","false","JQ456402.1.1320","JQ456402.1.1320"
"strong","1.0","JQ466170.1.1381","1","JQ466170.1.1381","false","JQ466170.1.1381","JQ466170.1.1381"
"strong","1.0","GU227178.1.1443","1","GU227178.1.1443","false","GU227178.1.1443","GU227178.1.1443"
"strong","1.0","AY005028.1.1473","1","AY005028.1.1473","false","AY005028.1.1473","AY005028.1.1473"
"strong","1.0","FM996555.1.1478","1","FM996555.1.1478","false","FM996555.1.1478","FM996555.1.1478"
"strong","0.0","AF182836.1.1487","0","AF182836.1.1487","false","AF182836.1.1487","AF182836.1.1487"
"strong","0.0","AJ289171.1.1390","0","AJ289171.1.1390","false","AJ289171.1.1390","AJ289171.1.1390"
"strong","1.0","HQ860569.1.1449","1","HQ860569.1.1449","false","HQ860569.1.1449","HQ860569.1.1449"
"strong","1.0","JQ447755.1.1371","1","JQ447755.1.1371","false","JQ447755.1.1371","JQ447755.1.1371"
"strong","1.0","HQ796415.1.1439","1","HQ796415.1.1439","false","HQ796415.1.1439","HQ796415.1.1439"
"strong","1.0","DQ805613.1.1389","1","DQ805613.1.1389","false","DQ805613.1.1389","DQ805613.1.1389"
"strong","1.0","JQ452460.1.1398","1","JQ452460.1.1398","false","JQ452460.1.1398","JQ452460.1.1398"
"strong","0.0","JQ469462.1.1398","0","JQ469462.1.1398","false","JQ469462.1.1398","JQ469462.1.1398"
"strong","0.0","JQ464718.1.1343","0","JQ464718.1.1343","false","JQ464718.1.1343","JQ464718.1.1343"
"strong","1.0","FJ983002.1.1496","1","FJ983002.1.1496","false","FJ983002.1.1496","FJ983002.1.1496"
"strong","1.0","JN981858.1.1460","1","JN981858.1.1460","false","JN981858.1.1460","JN981858.1.1460"
"strong","1.0","EU457777.1.1404","1","EU457777.1.1404","false","EU457777.1.1404","EU457777.1.1404"
"strong","1.0","JX010937.1.1436","1","JX010937.1.1436","false","JX010937.1.1436","JX010937.1.1436"
"strong","1.0","JQ478231.1.1398","1","JQ478231.1.1398","false","JQ478231.1.1398","JQ478231.1.1398"
"strong","0.0","JQ475757.1.1427","0","JQ475757.1.1427","false","JQ475757.1.1427","JQ475757.1.1427"
"strong","0.0","JQ469524.1.1369","0","JQ469524.1.1369","false","JQ469524.1.1369","JQ469524.1.1369"
"strong","0.0","FJ976318.1.1377","0","FJ976318.1.1377","false","FJ976318.1.1377","FJ976318.1.1377"
"strong","0.0","JF116772.1.1370","0","JF116772.1.1370","false","JF116772.1.1370","JF116772.1.1370"
"strong","0.0","JQ448691.1.1371","0","JQ448691.1.1371","false","JQ448691.1.1371","JQ448691.1.1371"
"strong","1.0","JQ456522.1.1391","1","JQ456522.1.1391","false","JQ456522.1.1391","JQ456522.1.1391"
"strong","1.0","JQ455911.1.1348","1","JQ455911.1.1348","false","JQ455911.1.1348","JQ455911.1.1348"
"strong","0.0","JQ474121.1.1403","0","JQ474121.1.1403","false","JQ474121.1.1403","JQ474121.1.1403"
"strong","0.0","JQ466935.1.1306","0","JQ466935.1.1306","false","JQ466935.1.1306","JQ466935.1.1306"
"strong","1.0","JQ450225.1.1386","1","JQ450225.1.1386","false","JQ450225.1.1386","JQ450225.1.1386"
"strong","1.0","GU408873.1.1448","1","GU408873.1.1448","false","GU408873.1.1448","GU408873.1.1448"
"strong","0.0","JQ460168.1.1415","0","JQ460168.1.1415","false","JQ460168.1.1415","JQ460168.1.1415"
"strong","1.0","U13042.1.1434","1","U13042.1.1434","false","U13042.1.1434","U13042.1.1434"
"strong","1.0","JQ467851.1.1398","1","JQ467851.1.1398","false","JQ467851.1.1398","JQ467851.1.1398"
"strong","0.0","JQ478188.1.1371","0","JQ478188.1.1371","false","JQ478188.1.1371","JQ478188.1.1371"
"strong","0.0","JF149926.1.1376","0","JF149926.1.1376","false","JF149926.1.1376","JF149926.1.1376"
"strong","0.0","JQ469832.1.1404","0","JQ469832.1.1404","false","JQ469832.1.1404","JQ469832.1.1404"
"strong","1.0","JQ452621.1.1400","1","JQ452621.1.1400","false","JQ452621.1.1400","JQ452621.1.1400"
"strong","1.0","EU469019.1.1325","1","EU469019.1.1325","false","EU469019.1.1325","EU469019.1.1325"
"strong","0.0","JQ478073.1.1367","0","JQ478073.1.1367","false","JQ478073.1.1367","JQ478073.1.1367"
"strong","0.0","AEPD01000042.30.1432","0","AEPD01000042.30.1432","false","AEPD01000042.30.1432","AEPD01000042.30.1432"
"strong","0.0","JQ478287.1.1382","0","JQ478287.1.1382","false","JQ478287.1.1382","JQ478287.1.1382"
"strong","1.0","JQ456328.1.1355","1","JQ456328.1.1355","false","JQ456328.1.1355","JQ456328.1.1355"
"strong","1.0","JQ455199.1.1375","1","JQ455199.1.1375","false","JQ455199.1.1375","JQ455199.1.1375"
"strong","1.0","JF186219.1.1383","1","JF186219.1.1383","false","JF186219.1.1383","JF186219.1.1383"
"strong","1.0","JF127545.1.1357","1","JF127545.1.1357","false","JF127545.1.1357","JF127545.1.1357"
"strong","1.0","JF132957.1.1367","1","JF132957.1.1367","false","JF132957.1.1367","JF132957.1.1367"
"strong","1.0","KF280301.1.1435","1","KF280301.1.1435","false","KF280301.1.1435","KF280301.1.1435"
"strong","1.0","ADEB01000020.3877.5392","1","ADEB01000020.3877.5392","false","ADEB01000020.3877.5392","ADEB01000020.3877.5392"
"strong","1.0","JQ452108.1.1387","1","JQ452108.1.1387","false","JQ452108.1.1387","JQ452108.1.1387"
"strong","0.0","GQ448318.1.1256","0","GQ448318.1.1256","false","GQ448318.1.1256","GQ448318.1.1256"
