id,P-006,P-015,P-027,P-031,P-032,P-043,P-045,P-050,P-055,P-065,P-070,P-074,Genus
ASV0001,0,0,0,0,0,0,0,0,0,0,0,0,Streptococcus
ASV0002,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0003,619,387,300,616,451,385,406,576,679,3,671,5789,Bifidobacterium
ASV0004,1201,959,804,73,1066,160,302,1006,1338,5,346,85,Lactococcus
ASV0005,1339,1043,1371,1838,1482,1928,1611,1394,1757,13,2417,27582,Collinsella
ASV0006,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0007,0,0,0,0,0,0,0,0,0,0,0,0,Veillonella
ASV0008,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0009,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0010,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0011,0,0,0,0,0,0,0,0,0,0,0,0,Olsenella
ASV0012,403,225,344,456,216,380,332,385,495,1,516,5372,Flavonifractor
ASV0013,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0014,1341,709,653,538,881,427,788,1057,1215,2,760,5985,Veillonella
ASV0015,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0016,0,0,0,0,0,0,0,0,0,0,0,0,Acinetobacter
ASV0017,1640,761,1037,721,844,1430,810,1538,2078,9,1345,18656,Bacteroides
ASV0018,0,0,0,0,0,0,0,0,0,0,0,0,Hungatella
ASV0019,0,0,0,0,0,0,0,0,0,0,0,0,Murdochiella
ASV0020,3,25,64,83,45,50,89,5,50,0,107,609,Escherichia-Shigella
ASV0021,0,107,0,153,94,1,127,0,2,0,308,5,Clostridioides
ASV0022,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella
ASV0023,233,274,130,542,642,253,726,219,477,3,679,5090,Proteus
ASV0024,0,0,0,0,0,0,0,0,0,0,0,0,Prevotella_9
ASV0025,29,51,58,216,38,77,151,14,126,1,119,1280,[Ruminococcus] gnavus group
ASV0026,3,81,0,218,108,0,138,1,0,0,199,89,unknown
ASV0027,0,0,0,0,0,0,0,0,0,0,0,0,Atopobium
ASV0028,540,84,11,174,290,11,435,357,216,1,210,549,Lacticaseibacillus
ASV0029,6,12,2,6,2,3,16,7,9,0,19,12,Clostridium sensu stricto 1
ASV0030,0,0,0,0,0,0,0,0,0,0,0,0,Lachnoclostridium
ASV0031,0,0,0,0,0,0,0,0,0,0,0,0,Dialister
ASV0032,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
ASV0033,0,0,0,0,0,0,0,0,0,0,0,0,Sutterella
ASV0034,0,0,0,0,0,0,0,0,0,0,0,0,Clostridium sensu stricto 1
ASV0035,0,0,0,0,0,0,0,0,0,0,0,0,Peptoniphilus
ASV0036,1,0,0,0,0,0,0,1,0,0,0,2,Stenotrophomonas
ASV0037,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
ASV0038,0,0,0,0,0,0,0,0,0,0,0,0,unknown
ASV0039,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0040,6,7,0,2,0,0,0,2,11,0,10,8,Lactobacillus
ASV0041,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium
ASV0042,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides
ASV0043,294,126,138,109,208,72,170,262,255,0,199,1446,Veillonella
ASV0044,16,4,13,19,11,61,10,11,10,0,18,483,Erysipelatoclostridium
ASV0045,693,506,206,381,707,160,261,342,511,0,1581,4577,Acinetobacter
ASV0046,0,0,0,0,0,0,0,0,0,0,0,0,Megasphaera
ASV0047,0,0,0,0,0,0,0,0,0,0,0,0,Faecalibacterium
