Cenarchaeum symbiosum	414004	GCA_000200715.1
Pyrobaculum oguniense	698757	GCA_000247545.1
Methanolobus psychrophilus	1094980	GCA_000306725.1
Thermococcus_C sp002009975	1935003	GCA_002009975.1
UBA204 sp002501765	1915556	GCA_002501765.1
Thermofilum_A sp002855745	1980981	GCA_002855745.1
Natronomonas sp003020965	1919175	GCA_003020965.1
Methanobacterium_B sp003158115	2164	GCA_003158115.1
Methanobrevibacter_C sp003315655	2006182	GCA_003315655.1
PWHR01 sp003551675	1906666	GCA_003551675.1
UBA588 sp002509085	2164	GCA_003600755.1
Methanosuratus subterraneum_A	2593994	GCA_004028775.1
AG1 sp011056395	2268176	GCA_011056395.1
NZ13-MG1 sp011363045	2268198	GCA_011363045.1
Caldarchaeum subterraneum_B	311458	GCA_011364605.1
JACAFH01 sp013538715	2697468	GCA_013538715.1
Nitrosopumilus sp013911135	2024843	GCA_013911135.1
Methanoperedens sp902386205	115547	GCA_902386205.1
Methanobrevibacter_A sp902788255	253161	GCA_902788255.1
Methanocella paludicola	304371	GCA_000011005.1
Sulfolobus acidocaldarius	330779	GCA_000012285.1
Thermococcus gammatolerans	593117	GCA_000022365.1
Thermococcus_A sibiricus	604354	GCA_000022545.1
Desulfurococcus mucosus	765177	GCA_000186365.1
Methanomethylovorans hollandica	867904	GCA_000328665.1
Haloarcula amylolytica	1227452	GCA_000336615.1
Haloferax prahovense	1227461	GCA_000336815.1
Halococcus saccharolyticus	1227455	GCA_000336915.1
Natronococcus amylolyticus	1227497	GCA_000337675.1
Haloferax mucosum	662479	GCA_000337815.1
Thermococcus piezophilus	1712654	GCA_001647085.1
Natrinema saccharevitans	301967	GCA_001953745.1
Methanobrevibacter_C arboriphilus	1300164	GCA_002072215.1
Pyrococcus chitonophagus	54262	GCA_002214605.1
Methanobacterium_D bryantii	2161	GCA_002287175.1
Methanocorpusculum parvum	2193	GCA_002287215.1
Methanofervidicoccus sp003351865	2607662	GCA_003351865.1
Halomarina oriensis_A	671145	GCA_003862495.1
Halorussus sp004765805	1710537	GCA_004765805.1
Halonotius roseus	2511997	GCA_006861655.1
Nitrosocosmicus sp008389435	2563600	GCA_008389435.1
Halobaculum sp009831625	2073113	GCA_009831625.1
UBA71 sp006954425	1535962	GCA_009911715.1
Halorubellus sp011440375	2715753	GCA_011440375.1
Thermococcus sp012027645	1638210	GCA_012027645.1
Saccharolobus solfataricus	2287	GCA_900079115.1
Halovenus aranensis	890420	GCA_900100385.1
Haloarchaeobius iranensis	996166	GCA_900103505.1
Halopenitus persicus	1048396	GCA_900107205.1
Halorientalis persicus	1367881	GCA_900110215.1
Methanolobus profundi	487685	GCA_900114835.1
Halostagnicola kamekurae	619731	GCA_900116205.1
Halobaculum gomorrense	43928	GCA_900129775.1
Nitrosotalea bavarica	1903277	GCA_900167955.1
Methanobrevibacter_A sp900766745	2099680	GCA_900766745.1
CADDZS01 sp902812485	1906665	GCA_902812485.1
Aramenus sulfurataquae	1326980	GCA_000565255.1
Methanobacterium_A sp002067325	1811675	GCA_002067325.1
Methanocorpusculum sp002498375	1915492	GCA_002498375.1
Methanoculleus sp002508705	1915505	GCA_002508705.1
NZ13-MG1 sp003056285	1980982	GCA_003056285.1
UBA288 sp004332335	2576309	GCA_004332335.1
SG8-32-3 sp007050895	2026714	GCA_007050895.1
DSLH01 sp011053435	2026714	GCA_011053435.1
DSZV01 sp011367065	1872399	GCA_011367065.1
Methanothermobacter_A sp011370395	2099680	GCA_011370395.1
UBA9949 sp013415565	2184052	GCA_013415565.1
MVRC01 sp013415865	1906667	GCA_013415865.1
Methanobrevibacter_A sp902764455	253161	GCA_902764455.1
Methanobrevibacter_A sp902774605	253161	GCA_902774605.1
PALSA-986 sp903901015	2026714	GCA_903901015.1
Halorhabdus utahensis	519442	GCA_000023945.1
Methanocaldococcus_A infernus	573063	GCA_000092305.1
Metallosphaera yellowstonensis	671065	GCA_000243315.1
Thermococcus_A litoralis	523849	GCA_000246985.3
Haloferax mediterranei	523841	GCA_000306765.2
Natrinema gari	1230459	GCA_000337175.1
Halorubrum distributum	1227468	GCA_000337335.1
Natrialba taiwanensis	1230458	GCA_000337595.1
Methanocaldococcus_A villosus	1069083	GCA_000371805.1
Acidianus copahuensis	1160895	GCA_000632495.1
Halobellus rufus	1448860	GCA_000739575.1
Methanosarcina thermophila	523844	GCA_000969885.1
Halobacterium sp001485535	1765057	GCA_001485535.1
Nitrosopumilus sp001541925	1776294	GCA_001541925.1
Methanobrevibacter_A sp001548675	1609968	GCA_001548675.1
Halalkalicoccus paucihalophilus	1008153	GCA_001593955.1
Nitrosopumilus catalinensis	1898749	GCA_002156965.1
Natronolimnobius baerhuensis	253108	GCA_002177135.1
Thermococcus radiotolerans	187880	GCA_002214565.1
Methanohalophilus portucalensis	39664	GCA_002761295.1
Methanosphaera cuniculi	1077256	GCA_003149675.1
Halostella salina	1547897	GCA_003675855.1
Halorubrum sp003721435	1853699	GCA_003721435.2
Methanofervidicoccus abyssi	2082189	GCA_004310395.1
Halorussus ruber	1126238	GCA_004765785.1
XQ-INN-246 sp006543045	2419781	GCA_006543045.1
Salinibaculum litoreum	1710541	GCA_009789175.1
Halomarina oriensis	671145	GCA_009791395.1
Salinirussus salinus	1198300	GCA_009831455.1
Halomicroarcula limicola	1429915	GCA_010119205.1
Haloterrigena sp013342135	2496101	GCA_013342135.1
N1521 sp003551725	2742718	GCA_013342525.1
Natronomonas sp013839515	2750669	GCA_013839515.1
Natronorubrum texcoconense	1095776	GCA_900100335.1
Halolamina pelagica	699431	GCA_900115675.1
Nitrosotalea okcheonensis	1903276	GCA_900177045.1
DTU008 sp001421185	1713724	GCA_001421185.1
Thermocladium sp001516585	1714261	GCA_001516585.1
UBA412 sp002495685	1915486	GCA_002495685.1
Methanobacterium_A sp002502855	1915425	GCA_002502855.1
RumEn-M2 sp002502965	1915654	GCA_002502965.1
ECH-B-1 sp003019535	1978159	GCA_003019535.1
BE-D sp003019595	1978156	GCA_003019595.1
BOG-1369 sp003164815	2026795	GCA_003164815.1
PXYB01 sp003352285	2056631	GCA_003352285.1
Natronococcus sp003559215	2093806	GCA_003559215.1
Nitrosopumilus sp003702495	2024843	GCA_003702495.1
PALSA-986 sp009783705	2026714	GCA_009783705.1
HRBIN02 sp009889515	2056631	GCA_009889515.1
NZ13-MG1 sp011364235	2268198	GCA_011364235.1
Thermofilum_C pendens_A	2269	GCA_011372985.1
DRZP01 sp011375535	2184738	GCA_011375535.1
UBA57 sp002494565	2026795	GCA_013306035.1
Methanobrevibacter sp902784195	253161	GCA_902784195.1
Methanococcus voltae	456320	GCA_000006175.2
Methanoculleus marisnigri	368407	GCA_000015825.1
Methanococcus maripaludis_C	444158	GCA_000018485.1
Thermococcus cleftensis	163003	GCA_000265525.1
Methanomethylophilus alvus	1236689	GCA_000300255.2
Halococcus agarilyticus	1232219	GCA_000334895.1
Natronolimnohabitans innermongolicus	1227499	GCA_000337215.1
Methanoculleus sp000691865	1495314	GCA_000691865.1
Halobacterium hubeiense	1407499	GCA_001488575.1
Halolamina sp002025255	1853690	GCA_002025255.2
Halorubrum trapanicum	29284	GCA_002355655.1
Methanococcus maripaludis	39152	GCA_002945325.1
Halorubrum sp003287355	2249761	GCA_003287355.1
Acidilobus sp003431325	1577685	GCA_003431325.1
Methanobrevibacter_A gottschalkii	1122229	GCA_003814835.1
Halorussus sp004765795	2505976	GCA_004765795.1
Halapricum salinum	1457250	GCA_004799665.1
Halostella pelagica	2583824	GCA_005954745.1
Sulfuracidifex tepidarius	1294262	GCA_008326425.1
Saccharolobus sp009601705	2663019	GCA_009601705.1
Nitrosopumilus cobalaminigenes	1470066	GCA_013407145.1
Methanothermobacter wolfei	145261	GCA_900095815.1
Halorubrum xinjiangense	261291	GCA_900102375.1
Halogranum gelatinilyticum	660521	GCA_900103715.1
Halogranum amylolyticum	660520	GCA_900110465.1
Halogranum rubrum	553466	GCA_900114455.1
Nitrosotalea sinensis	1499975	GCA_900143675.1
JdFR-22 sp002010045	1934979	GCA_002010045.1
Methanocella_A sp002067315	1811677	GCA_002067315.1
Methanoculleus marisnigri_B	2198	GCA_002503885.1
UBA71 sp002504405	1915677	GCA_002504405.1
Methanocorpusculum sp002506085	1915628	GCA_002506085.1
UBA349 sp002839705	2013815	GCA_002839705.1
Halostella sp003023565	1919191	GCA_003023565.1
DTGH01 sp011335015	2250274	GCA_011335015.1
JACAEJ01 sp011358735	2268197	GCA_011358735.1
HRBIN02 sp011373385	2268198	GCA_011373385.1
DRYY01 sp011375665	2026714	GCA_011375665.1
Methanoperedens sp012026835	2032688	GCA_012026835.1
Methanomassiliicoccus sp012719175	2528041	GCA_012719175.1
Methanobacterium sp012838205	2164	GCA_012838205.1
Sv326 sp013426015	2250274	GCA_013426015.1
Methanomethylovorans sp014361205	2758717	GCA_014361205.1
JACIWB01 sp014361245	2268204	GCA_014361245.1
WYZ-LMO10 sp014361445	2758716	GCA_014361445.1
Methanoperedens sp902384525	115547	GCA_902384525.1
Pyrococcus horikoshii	70601	GCA_000011105.1
Methanobrevibacter_A smithii	420247	GCA_000016525.1
Methanococcus vannielii	406327	GCA_000017165.1
Ferroplasma acidarmanus	333146	GCA_000152265.2
Methanothrix soehngenii	990316	GCA_000204415.1
Thermoproteus tenax	768679	GCA_000253055.1
Haloferax larsenii	1227460	GCA_000336955.1
Halorubrum coriense	1227466	GCA_000337035.1
Halorubrum lipolyticum	1227482	GCA_000337375.1
Natrialba hulunbeirensis	1227493	GCA_000337575.1
Natronorubrum sulfidifaciens	1230460	GCA_000337735.1
Haloferax denitrificans	662478	GCA_000337795.1
Haloferax sulfurifontis	662480	GCA_000337835.1
Haloplanus natans	926690	GCA_000427685.1
Natronomonas moolapensis	268739	GCA_000591055.1
Methanomicrobium mobile	694440	GCA_000711215.1
Haloferax sp001482285	1526048	GCA_001482285.1
Thermococcus peptonophilus	53952	GCA_001592435.1
Methanobrevibacter_C cuticularis	47311	GCA_001639285.1
Thermococcus celer	1293037	GCA_002214365.1
Methanosarcina spelaei	1036679	GCA_002287235.1
