s__Flavonifractor sp900549795	2763053
s__Salinihabitans flavidus	569882
s__Marinimicrobium koreense	306545
s__Nocardioides terrigena	424797
s__PUOA01 sp003567395	2743469
s__Salinarimonas ramus	690164
s__Paraclostridium bifermentans	1490
s__Salisediminibacterium selenitireducens	439292
s__Streptomyces fructofermentans	152141
s__Marinobacter pelagius_A	379482
s__Luteimonas_B sp011320095	1104775
s__Marvinbryantia sp900066075	2293831
s__Pseudomonas_E synxantha_A	96901
s__Streptomyces achromogenes	67256
s__Nostoc linckia	1628743
s__Brevibacterium sp001815905	1581130
s__Leeuwenhoekiella aestuarii	2249426
s__Acinetobacter pullicarnis	2576829
s__Pararhizobium sp003217095	2135647
s__Formosa agariphila	1347342
s__F1-120-MAGs023 sp005773635	1883427
s__Allorhizobium vitis_E	373
s__Acidobacterium_A sp014274465	2763107
s__Mycobacterium sp001499965	1772283
s__Pseudoduganella dura	321982
s__Zestosphaera sp011375725	2184738
s__Pseudolabrys sp003367195	2292256
s__Rhodobacter_C vinaykumarii	407234
s__Arthrobacter_D agilis	37921
s__Raoultella ornithinolytica	1349784
s__Amycolatopsis circi	871959
s__Staphylococcus rostri	522262
s__CADEEZ01 sp902826485	86473
s__Pseudobdellovibrio exovorus	1184267
s__Hydrogenophaga flava	1349752
s__Neisseria sp000090875	641149
s__Tenacibaculum sp014062345	2759527
s__UBA4080 sp002381865	1950874
s__Wenxinia marina	1123501
s__Streptococcus constellatus_A	76860
s__Pseudochrobactrum sp900470285	1909294
s__Pelagibacter sp902583075	1667051
s__Microcystis panniformis	449468
s__Lawsonibacter sp900066645	1898207
s__Mycobacterium gadium	1794
s__Pirellula_B sp001610875	1632865
s__Aquisalimonas sp007126095	1872621
s__Streptomyces longwoodensis	68231
s__Nitrospira_A sp003456605	330214
s__BOG-234 sp903925015	2569093
s__Endomicrobium_A trichonymphae	1408204
s__Dyella_A sp002279065	1970613
s__Pyrobaculum aerophilum	178306
s__CAG-95 sp009917455	2320887
s__Listeria sp902806445	1844999
s__Shewanella sp009663145	1419739
s__Demequina mangrovi	1043493
s__Bordetella_B sp007679965	463040
s__Prevotella sp900315035	159272
s__Halomonas subterranea	416874
s__Flavilitoribacter nigricans	1122177
