Abditibacterium	2109263
Abiotrophia	46123
Abyssivirga	1792300
Acanthopleuribacter	442869
Acaricomes	291967
Acetanaerobacterium	258514
Acetatifactor	1427378
Acetitomaculum	31980
Acetivibrio	35829
Acetoanaerobium	186831
Acetobacter	434
Acetobacterium	33951
Acetobacteroides	1647173
Acetohalobium	28186
Acetomicrobium	49894
Acetonema	2373
Acholeplasma	2147
Achromatium	44937
Achromobacter	222
Acidaminobacter	65402
Acidaminococcus	904
Acidianus	12914
Acidibacillus	1765682
Acidibacter	1549619
Acidicaldus	368783
Acidicapsa	1078830
Acidiferrobacter	986106
Acidihalobacter	1765964
Acidilobus	105850
Acidimicrobium	53634
Acidiphilium	522
Acidipila	1000999
Acidiplasma	507753
Acidipropionibacterium	1912215
Acidisoma	512381
Acidisphaera	50714
Aciditerrimonas	1042325
Acidithiobacillus	119977
Acidithrix	1609233
Acidobacterium	33973
Acidocella	50709
Acidomonas	34000
Acidothermus	28048
Acidovorax	12916
Aciduliprofundum	379546
Acinetobacter	469
Acrocarpospora	90974
Acrosiphonia sp. SAG-127.80	2601987
Actibacter	449462
Actibacterium	1433986
Actimicrobium	1051898
Actinoallomurus	667113
Actinoalloteichus	65496
Actinobacillus	713
Actinobacteria bacterium CG2_30_50_142	1973895
Actinobaculum	76833
Actinocatenispora	390988
Actinocorallia	58108
Actinokineospora	39845
Actinomadura	1988
Actinomyces	1654
Actinomycetospora	402649
Actinophytocola	695999
Actinoplanes	1865
Actinopolymorpha	117156
Actinopolyspora	1849
Actinorectispora	1769723
Actinorhabdospora	1849525
Actinorugispora	1833962
Actinospica	414715
Actinosynnema	40566
Actinotalea	458839
Actinotignum	1653174
Acuticoccus	1904377
Adhaeribacter	299566
Adlercreutzia	447020
Advenella	290425
Aequorivita	153265
Aeribacillus	1055323
Aeriscardovia	240233
Aerococcus	1375
Aeromicrobium	2040
Aeromonas	642
Aeromonas hydrophila subsp. hydrophila	196023
Aeropyrum	56635
Aerosphaera	137460
Aestuariibacter	249523
Aestuariibaculum	1386924
Aestuariibius	2109360
Aestuariicella	1635133
Aestuariicoccus	2054427
Aestuariihabitans	1485945
Aestuariimicrobium	396388
Aestuariimonas	2109352
Aestuariispira	1647175
Aestuariivita	1608457
Aestuariivivens	1820275
Aetherobacter	888829
Afifella	643217
Afipia	1033
Agaribacter	1494561
Agaribacterium	2038244
Agaricicola	1364858
Agarilytica	2036021
Agarivorans	261825
Agathobacter	1766253
Aggregatibacter	416916
Aggregicoccus	1470623
Agreia	110934
Agrilactobacillus	2767875
Agrococcus	46352
Agromyces	33877
Ahniella	2233801
Ahrensia	152180
Aidingimonas	1395977
Akkermansia	239934
Albibacter	160700
