0-14-0-20-45-22 sp002774355	1975524	GCA_002774355.1
0-14-3-00-41-53 sp002780895	1974065	GCA_002780895.1
1109 sp001028815	1655638	GCA_001028815.1
1-14-0-10-45-34 sp002778785	1973927	GCA_002778785.1
1-14-0-20-39-49 sp002787635	1973900	GCA_002787635.1
1-14-0-20-45-15 sp002787235	1974048	GCA_002787235.1
1-14-0-20-45-26 sp002787155	1974748	GCA_002787155.1
1-14-0-65-60-17 sp002787815	1973924	GCA_002787815.1
1-14-2-50-31-20 sp002786785	1974047	GCA_002786785.1
1162T-S-0a-05 sp000964245	1286364	GCA_000964245.1
1-19 sp001922585	1925589	GCA_001922585.1
1-19 sp002837195	2025587	GCA_002837195.1
13-1-40CM-70-15 sp003223415	2026742	GCA_003223415.1
13-2-20CM-66-19 sp005878835	1913989	GCA_005878835.1
13-2-20CM-68-14 sp005888315	1883427	GCA_005888315.1
14-2 sp000403255	397288	GCA_000403255.2
14-2 sp000403315	397290	GCA_000403315.2
14-2 sp000403845	1235790	GCA_000403845.2
14-2 sp001940225	1261634	GCA_001940225.1
14-2 sp004793545	1898203	GCA_004793545.1
14-2 sp009911185	1898203	GCA_009911185.1
14-2 sp012519695	1898207	GCA_012519695.1
16-39-46 sp002257235	1970490	GCA_002257235.1
172606-1 sp010119975	2704465	GCA_010119975.1
17J80-11 sp010975005	2709382	GCA_010975005.1
17J80-11 sp014349105	2763502	GCA_014349105.1
18JY21-1 sp004344915	2545760	GCA_004344915.1
1XD42-69 sp009911505	1898203	GCA_009911505.1
1XD42-69 sp014287635	2763064	GCA_014287635.1
1XD8-76 sp003611955	2320115	GCA_003611955.1
2013-40CM-41-45 sp002215675	1978119	GCA_002215675.1
20-14-0-20-35-9 sp013202875	1883427	GCA_013202875.1
2-02-FULL-35-15 sp001784585	1801608	GCA_001784585.1
2-02-FULL-42-43 sp002793195	1974020	GCA_002793195.1
2-02-FULL-56-15 sp004297165	1913989	GCA_004297165.1
2-02-FULL-58-16 sp001830425	1802021	GCA_001830425.1
2-02-FULL-62-17 sp903859155	86027	GCA_903859155.1
2-02-FULL-62-17 sp903899705	86027	GCA_903899705.1
2-02-FULL-63-19 sp001770415	1797486	GCA_001770415.1
20CM-2-65-7 sp003221035	2026742	GCA_003221035.1
20CM-2-65-7 sp003221895	2026742	GCA_003221895.1
20CM-2-65-7 sp003222195	2026742	GCA_003222195.1
20CM-2-65-7 sp003223395	2026742	GCA_003223395.1
21-14-all-39-27 sp002786715	1975529	GCA_002786715.1
2-12-FULL-35-15 sp001769385	1797364	GCA_001769385.1
2-12-FULL-35-15 sp903847205	152509	GCA_903847205.1
2-12-FULL-35-15 sp903881065	152509	GCA_903881065.1
2-12-FULL-35-15 sp903911435	152509	GCA_903911435.1
2-12-FULL-35-15 sp903919535	152509	GCA_903919535.1
2-12-FULL-35-15 sp903926385	152509	GCA_903926385.1
2-12-FULL-35-23 sp001801465	1798274	GCA_001801465.1
2-12-FULL-37-12 sp001769655	1797365	GCA_001769655.1
2-12-FULL-62-58 sp001772005	1797497	GCA_001772005.1
2-12-FULL-64-23 sp004298385	1891241	GCA_004298385.1
2-12-FULL-68-20 sp001770655	1797505	GCA_001770655.1
