Enterococcus faecium DO	333849
Oryza sativa Japonica Group (Japanese rice)	39947
marine metagenome	408172
Streptococcus agalactiae 18RS21	342613
Clostridioides difficile QCD-32g58	367459
Reinekea blandensis MED297	314283
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	393480
Ricinus communis (castor bean)	3988
mouse gut metagenome	410661
Pelagibaca bermudensis HTCC2601	314265
epibiont metagenome	408171
Thermosinus carboxydivorans Nor1	401526
Algoriphagus machipongonensis	388413
Bacillus sp. B14905	388400
Rhodobacteraceae bacterium HTCC2150	388401
Roseobacter sp. SK209-2-6	388739
Mycobacterium tuberculosis H37Ra	419947
Yersinia pestis biovar Antiqua str. UG05-0454	404218
Photobacterium iliopiscarium	56192
Haloarcula aidinensis	56545
Nitrosomonas sp. JL21	153949
Ixodes scapularis endosymbiont	47467
Ornithodoros moubata symbiont A	59199
Streptococcus canis	1329
Streptococcus equi	1336
Streptococcus alactolyticus	29389
Actinomycetales bacterium HTA474	338782
Actinomycetales bacterium HTA064	338785
Actinomycetales bacterium HTA459	338786
low G+C Gram-positive bacterium HTA454	338792
low G+C Gram-positive bacterium HTA426	338793
low G+C Gram-positive bacterium HTA462	338794
low G+C Gram-positive bacterium HTA1418	338795
low G+C Gram-positive bacterium HTA1422	338796
low G+C Gram-positive bacterium HTA1416	338799
alpha proteobacterium HTA473	338802
Jaaginema neglectum IAM M-82	454132
Kineosporia aurantiaca	49185
Kineosporia rhamnosa	84634
Microbacterium halophilum	451807
Microbacterium arabinogalactanolyticum	69365
Microbacterium flavescens	69366
Microbacterium terrae	69369
Corynebacterium terpenotabidum	89154
Cellulomonas sp.	40001
unidentified eubacterium GANI3	63450
unidentified eubacterium GANI4	63451
unidentified eubacterium NAK9	63452
uncultured eubacterium NAK14	63453
Lactobacillus sp. LA-6	483008
Streptococcus anginosus subsp. anginosus	1328
Helicobacter suncus	63760
Parvopolyspora pallida	65509
Cathayosporangium alboflavum	65501
Virgisporangium ochraceum	65505
Cryptosporangium japonicum	80872
Virgisporangium aurantiacum	175570
Actinomadura formosensis	60706
actinomycete R-5	335417
Acrocarpospora pleiomorpha	90975
Planotetraspora sp. NBRC 16010	335416
Lentzea albida	65499
Marinospirillum megaterium	64975
Pseudomonas sp. SLI	658093
Pseudomonas sp. SLK	658094
Microbacterium lacticum	33885
Microbacterium dextranolyticum	36806
Kineococcus aurantiacus	37633
Methylosinus sp. NCIMB 13214	209898
Gram-positive bacterium str. 121	69287
Moritella yayanosii	69539
alpha proteobacterium MBIC3035	77638
uncultured termite gut bacterium Cd30	69947
Paracraurococcus ruber	77675
unidentified rumen bacterium RFN13	70456
unidentified rumen bacterium RFN15	70458
unidentified rumen bacterium RFN16	70459
unidentified rumen bacterium RFN17	70460
unidentified rumen bacterium RFN18	70461
unidentified rumen bacterium RFN19	70462
unidentified rumen bacterium RFN20	70463
unidentified rumen bacterium RFN25	70467
unidentified rumen bacterium RFN29	70471
unidentified rumen bacterium RFN3	70472
unidentified rumen bacterium RFN33	70473
unidentified rumen bacterium RFN35	70475
unidentified rumen bacterium RFN4	70479
unidentified rumen bacterium RFN40	70480
unidentified rumen bacterium RFN41	70481
unidentified rumen bacterium RFN46	70486
unidentified rumen bacterium RFN47	70487
unidentified rumen bacterium RFN64	70495
unidentified rumen bacterium RFN65	70496
unidentified rumen bacterium RFN66	70497
unidentified rumen bacterium RFN69	70500
unidentified rumen bacterium RFN72	70504
unidentified rumen bacterium RFN74	70506
unidentified rumen bacterium RFN8	70511
