Acanthopleuribacteraceae	533207
Acaryochloridaceae	1890429
Acetobacteraceae	433
Acholeplasmataceae	2146
Acidaminococcaceae	909930
Acidiferrobacteraceae	1692041
Acidilobaceae	871007
Acidimicrobiaceae	84994
Acidithiobacillaceae	225058
Acidothermaceae	85032
Actinomarinaceae	1389452
Actinomycetaceae	2049
Actinomycetales Incertae Sedis	38987
Actinospicaceae	414713
Aerococcaceae	186827
Aeromonadaceae	84642
Akkermansiaceae	1647988
Alcaligenaceae	506
Alcanivoracaceae	224372
Algiphilaceae	1266054
Alicyclobacillaceae	186823
Amoebophilaceae	1501348
Anaerolineaceae	292628
Anaeroplasmataceae	186333
Anaplasmataceae	942
Ancalomicrobiaceae	2172021
Aquificaceae	64898
Archaeoglobaceae	2232
Archangiaceae	39
Arcobacteraceae	2808963
Ardenticatenaceae	1382930
Arenicellaceae	1617891
Armatimonadaceae	1042314
Atopobiaceae	1643824
Azospirillaceae	2829815
Babeliaceae	2497645
Bacillaceae	186817
Bacteriovoracaceae	263369
Bacteroidaceae	815
Bacteroidales Incertae Sedis	333046
Balneolaceae	1813606
Barnesiellaceae	2005519
Bdellovibrionaceae	213483
Beggiatoaceae	135617
Beijerinckiaceae	45404
Bernardetiaceae	1937968
Beutenbergiaceae	125316
Bifidobacteriaceae	31953
Blattabacteriaceae	39782
Bogoriellaceae	145358
Brachyspiraceae	143786
Bradymonadaceae	1779135
Brevibacteriaceae	85019
Brevinemataceae	1100104
Brocadiaceae	1127830
Burkholderiaceae	119060
Caldicoprobacteraceae	715221
Caldilineaceae	475964
Caldisericaceae	693073
Calditrichaceae	1962854
Campylobacteraceae	72294
Campylobacterales Incertae Sedis	438853
Candidatus Raymondbacteria	1817809
Cardiobacteriaceae	868
Carnobacteriaceae	186828
Catenulisporaceae	414877
Caulobacteraceae	76892
Celerinatantimonadaceae	412032
Cellulomonadaceae	85016
Cellvibrionaceae	1706371
Chamaesiphonaceae	1890431
Chitinivibrionaceae	1505234
Chitinophagaceae	563835
Chlamydiaceae	809
Chlamydiales Incertae Sedis	89329
Chlorobiaceae	191412
Chloroflexaceae	1106
Christensenellaceae	990719
Chromatiaceae	1046
Chromobacteriaceae	1499392
Chrysiogenaceae	189770
Chthoniobacteraceae	1836792
Chthonomonadaceae	1077264
Clostridiaceae	31979
Clostridiales Incertae Sedis	538999
Coleofasciculaceae	1892251
Colwelliaceae	267889
Competibacteraceae	1400857
Coprothermobacteraceae	2138247
Coriobacteriaceae	84107
Corynebacteriaceae	1653
