Enterococcus faecium DO	333849	GCA_001544255.1
Streptococcus agalactiae 18RS21	342613	GCA_000186445.1
Clostridioides difficile QCD-32g58	367459	GCA_001299635.1
Reinekea blandensis MED297	314283	GCA_000153185.1
Fusobacterium nucleatum subsp. polymorphum ATCC 10953	393480	GCA_000493815.1
Pelagibaca bermudensis HTCC2601	314265	GCA_000153725.1
Thermosinus carboxydivorans Nor1	401526	GCA_000169155.1
Algoriphagus machipongonensis	388413	GCA_000166275.1
Rhodobacteraceae bacterium HTCC2150	388401	GCA_000169395.1
Roseobacter sp. SK209-2-6	388739	GCA_000169455.1
Mycobacterium tuberculosis H37Ra	419947	GCA_000195955.2
Yersinia pestis biovar Antiqua str. UG05-0454	404218	GCA_900460465.1
Photobacterium iliopiscarium	56192	GCA_003026395.1
Nitrosomonas sp. JL21	153949	GCA_009833095.1
Streptococcus canis	1329	GCA_900636575.1
Streptococcus equi	1336	GCA_900637675.1
Streptococcus alactolyticus	29389	GCA_012277075.1
Kineosporia aurantiaca	49185	GCA_000719025.1
Corynebacterium terpenotabidum	89154	GCA_000418365.1
Cellulomonas sp.	40001	GCA_012927595.1
Streptococcus anginosus subsp. anginosus	1328	GCA_001697145.1
Actinomadura formosensis	60706	GCA_001552155.1
Acrocarpospora pleiomorpha	90975	GCA_009687885.1
Lentzea albida	65499	GCA_900111005.1
Microbacterium lacticum	33885	GCA_006716815.1
Kineococcus aurantiacus	37633	GCA_013409345.1
Moritella yayanosii	69539	GCA_900465055.1
Paracraurococcus ruber	77675	GCA_004353985.1
Hydrogenophilus thermoluteolus	297	GCA_003574215.1
Collinsella aerofaciens	74426	GCA_001404695.1
Eggerthella lenta	84112	GCA_000024265.1
Micropruina glycogenica	75385	GCA_900289045.1
Moritella sp.	78556	GCA_013215705.1
Bifidobacterium thermophilum	33905	GCA_000741495.1
Janibacter terrae	103817	GCA_001591405.1
Faecalitalea cylindroides	39483	GCA_000469305.1
Cryptobacterium curtum	84163	GCA_000023845.1
[Clostridium] scindens	29347	GCA_004295125.1
