Candidatus Caldiarchaeum subterraneum	311458	GCA_011373645.1
Candidatus Nitrocosmicus oleophilus	1353260	GCA_000802205.2
Acidipila-Silvibacterium bohemicum	1577686	GCA_001006305.1
Acidipila-Silvibacterium dinghuensis	1560006	GCA_004123295.1
Acidipila-Silvibacterium rosea	768535	GCA_004339725.1
Corynebacterium choanis	1862358	GCA_003813965.1
Corynebacterium geronticis	2079234	GCA_003813985.1
Mycobacterium chelonae	1774	GCA_014204435.1
Mycobacterium farcinogenes	1802	GCA_000723385.1
Rhodococcus equi	43767	GCA_001646645.1
Pedococcus-Phycicoccus badiiscoriae	642776	GCA_013408925.1
Pedococcus-Phycicoccus bigeumensis	433644	GCA_006438965.1
Pedococcus-Phycicoccus cremeus	587636	GCA_900111375.1
Pedococcus-Phycicoccus endophyticus	1690220	GCA_011326735.1
Pedococcus-Phycicoccus jejuensis	367299	GCA_000720925.1
Clavibacter insidiosus	33014	GCA_002240565.1
Clavibacter sepedonicus	31964	GCA_000069225.1
Clavibacter tessellarius	31965	GCA_001618005.1
Rhodoluna planktonica	535712	GCA_001854225.1
Sanguibacter-Flavimobilis antarcticus	372484	GCA_002564005.1
Sanguibacter-Flavimobilis gelidistatuariae	1814289	GCA_900096585.1
Sanguibacter-Flavimobilis inulinus	60922	GCA_013415325.1
Sanguibacter-Flavimobilis keddieii	60920	GCA_001064145.1
Sanguibacter-Flavimobilis marinus	285351	GCA_900113055.1
Sanguibacter-Flavimobilis soli	442709	GCA_002564025.1
Saccharopolyspora lacisalsi	1000566	GCA_014137975.1
Streptacidiphilus oryzae	348818	GCA_000744815.1
Streptomyces albidus	722709	GCA_013870515.1
Streptomyces alni	380248	GCA_900112845.1
Streptomyces paucisporeus	310782	GCA_900142575.1
Streptomyces rubidus	310780	GCA_900110255.1
Streptomyces vitaminophilus	76728	GCA_000380165.1
Streptomyces yanglinensis	310779	GCA_900107965.1
Streptomyces yeochonensis	89050	GCA_000745345.1
[Streptomyces] thermoautotrophicus thermoautotrophicus	1469144	GCA_001543895.1
Libanicoccus massiliensis	1871022	GCA_900143685.1
Olsenella umbonata	604330	GCA_900111255.1
[Cytophaga] xylanolytica group xylanolytica	990	GCA_003254275.1
Prevotella_7 jejuni	1177574	GCA_900187995.1
Prevotella_7 melaninogenica	28132	GCA_003609775.1
Prevotella_9 copri	165179	GCA_009495355.1
Chitinophaga terrae	408074	GCA_900107795.1
Chryseobacterium antarcticum	266748	GCA_900109615.1
Chryseobacterium jeonii	266749	GCA_000812865.1
Chryseobacterium palustre	493376	GCA_000422265.1
Chryseobacterium solincola	510955	GCA_000812875.1
Arcobacter cryaerophilus	28198	GCA_002993025.1
Pseudarcobacter aquimarinus	1315211	GCA_013177635.1
Pseudarcobacter cloacae	1054034	GCA_013201935.1
Pseudarcobacter defluvii	873191	GCA_013201725.1
Pseudarcobacter ellisii	913109	GCA_003544915.1
Pseudarcobacter venerupis	1054033	GCA_013201665.1
Dolichospermum NIES41 planctonicum	136072	GCA_005402965.1
Nostoc PCC-73102 sphaeroides	446679	GCA_003443655.1
Rivularia PCC-7116 atra	373994	GCA_000316665.1
Scytonema PCC-7110 cf.	128403	GCA_000346485.2
Desulfobacterium autotrophicum	2296	GCA_000020365.1
Desulfovibrio gigas	879	GCA_000468495.1
Desulfovibrio indonesiensis	54767	GCA_007625075.1
Desulfovibrio salexigens	880	GCA_000023445.1
Acholeplasma axanthum	29552	GCA_900660745.1
Acholeplasma modicum	2150	GCA_000687835.1
Bacillus halodurans	86665	GCA_004376175.1
Bacillus megaterium	nan	GCA_008180335.1
Bacillus persicus	930146	GCA_900109925.1
Bacillus pseudalcaliphilus	79884	GCA_001038565.1
Erysipelotrichaceae UCG-003 bacterium	2049044	GCA_012837435.1
[Anaerorhabdus] furcosa group furcosa	118967	GCA_900167375.1
[Clostridium] innocuum group innocuum	1522	GCA_012317185.1
Lacticigenium naphtae	515351	GCA_000425865.1
Mycoplasma agalactiae	2110	GCA_000266865.1
Mycoplasma arthritidis	2111	GCA_900660715.1
Mycoplasma bovoculi	45362	GCA_000524555.1
Mycoplasma californicum	2113	GCA_000695835.1
Mycoplasma canis	29555	GCA_001553195.1
Mycoplasma flocculare	2128	GCA_000815065.1
Mycoplasma girerdii	1318617	GCA_002215425.1
Mycoplasma hominis	2098	GCA_000085865.1
Mycoplasma hyopneumoniae	2099	GCA_000008205.1
Mycoplasma hyorhinis	2100	GCA_000383515.1
