Candidatus Caldiarchaeum subterraneum	311458
Candidatus Nitrosopumilus maritimus	338192
Candidatus Nitrocosmicus oleophilus	1353260
Candidatus Nitrososphaera viennensis	1034015
Thermofilum adornatus	1365176
Halorubrum californiensis	416585
Acidipila-Silvibacterium bohemicum	1577686
Acidipila-Silvibacterium dinghuensis	1560006
Acidipila-Silvibacterium rosea	768535
marine group metagenome	408172
Actinomyces cf.	nan
Corynebacterium choanis	1862358
Corynebacterium geronticis	2079234
Mycobacterium chelonae	1774
Mycobacterium farcinogenes	1802
Mycobacterium houstonense	146021
Rhodococcus equi	43767
Frankia symbiont	nan
Pedococcus-Phycicoccus aerophilus	436356
Pedococcus-Phycicoccus badiiscoriae	642776
Pedococcus-Phycicoccus bigeumensis	433644
Pedococcus-Phycicoccus cremeus	587636
Pedococcus-Phycicoccus dokdonensis	443156
Pedococcus-Phycicoccus endophyticus	1690220
Pedococcus-Phycicoccus ginsengisoli	1462998
Pedococcus-Phycicoccus ginsenosidimutans	490570
Pedococcus-Phycicoccus jejuensis	367299
Pedococcus-Phycicoccus ochangensis	663580
Pedococcus-Phycicoccus soli	1456769
Clavibacter insidiosus	33014
Clavibacter nebraskensis	31963
Clavibacter sepedonicus	31964
Clavibacter tessellarius	31965
Curtobacterium MG-2011-63-DB	1041688
Curtobacterium MG-2011-88-HC	1041691
Curtobacterium MG-2011-8-BQ	1041678
Pseudoclavibacter bifida	272239
Pseudoclavibacter faecalis	nan
Rhodoluna planktonica	535712
Sanguibacter-Flavimobilis antarcticus	372484
Sanguibacter-Flavimobilis gelidistatuariae	1814289
Sanguibacter-Flavimobilis inulinus	60922
Sanguibacter-Flavimobilis keddieii	60920
Sanguibacter-Flavimobilis marinus	285351
Sanguibacter-Flavimobilis soli	442709
Sanguibacter-Flavimobilis suarezii	60921
Micromonospora melanospora	47869
Saccharopolyspora lacisalsi	1000566
Streptacidiphilus oryzae	348818
Streptomyces albidus	722709
Streptomyces alni	380248
Streptomyces lasaliensis	324833
Streptomyces paucisporeus	310782
Streptomyces rubidus	310780
Streptomyces seranimatus	408067
Streptomyces vitaminophilus	76728
Streptomyces yanglinensis	310779
Streptomyces yeochonensis	89050
[Streptomyces] thermoautotrophicus thermoautotrophicus	1469144
Libanicoccus massiliensis	1871022
Olsenella umbonata	604330
[Cytophaga] xylanolytica group xylanolytica	990
Prevotella_7 albensis	77768
Prevotella_7 baroniae	305719
Prevotella_7 buccae	28126
Prevotella_7 dentalis	52227
Prevotella_7 dentasini	589537
Prevotella_7 denticola	28129
Prevotella_7 enoeca	76123
Prevotella_7 fusca	589436
Prevotella_7 histicola	470565
Prevotella_7 jejuni	1177574
Prevotella_7 melaninogenica	28132
Prevotella_7 multiformis	282402
Prevotella_7 multisaccharivorax	310514
Prevotella_7 pleuritidis	407975
Prevotella_7 scopos	589437
Prevotella_7 veroralis	28137
Prevotella_9 copri	165179
Prevotella_9 paludivivens	185294
Prevotella aff.	nan
Prevotellaceae UCG-001 bacterium	2049047
Chitinophaga cf.	nan
Chitinophaga terrae	408074
Lewinella nigricans	70997
Chryseobacterium antarcticum	266748
Chryseobacterium jeonii	266749
Chryseobacterium palustre	493376
Chryseobacterium solincola	510955
Natronotalea proteilytica	1807134
Arcobacter cryaerophilus	28198
Pseudarcobacter aquimarinus	1315211
Pseudarcobacter cloacae	1054034
Pseudarcobacter defluvii	873191
Pseudarcobacter ellisii	913109
Pseudarcobacter venerupis	1054033
Campylobacter mucosalis-like	28079
Helicobacter cf.	nan
Chamaesiphon PCC-6605 minutus	1173032
Chlorogloea SAG 10.99 microcystoides	1301163
Chroococcidiopsis PCC 7203 cubana	171392
Chroococcidiopsis PCC 7203 lichenoides	2152831
Chroococcidiopsis PCC 7203 thermalis	54299
Crinalium SAG 22.89 epipsammum	241425
Crinalium SAG 22.89 magnum	241426
Caldora VP642b penicillata	1702241
Coleofasciculus PCC-7420 chthonoplastes	64178
Microcoleus Es-Yyy1400 paludosus	450471
Microcoleus SAG 1449-1a paludosus	450471
Potamolinea 1PC aerugineo-caerulea	1867040
Potamolinea 1PC magna	1867036
Symploca PCC-8002 atlantica	293762
Symplocastrum CPER-KK1 torsivum	1552229
Wilmottia Ant-Ph58 murrayi	128154
Wilmottia Ant-Ph58 stricta	2003314
Annamia HOs24 toxica	1278163
Chroococcus HUW 799 turgidus	380547
Cyanobacterium PCC-10605 aponinum	379064
Cyanobacterium PCC-7202 stanieri	102235
Geminocystis PCC-6308 herdmanii	669359
Synechocystis SAG 90.79 aquatilis	543824
Microseira Carmichael-Alabama wollei	521094
Phormidium SAG 81.79 uncinatum	60848
Desertifilum KR2012-2 fontinale	1549157
Hormoscilla SI04-45 spongeliae	190968
Oscillatoria SAG8.92 corallinae	47255
Roseofilum AO1-A reptotaenium	1233427
Atelocyanobacterium (UCYN-A) thalassa	713887
Chalicogloea CCALA 975 cavernicola	1196658
Gloeothece PCC-6501 membranacea	44473
Gloeothece PCC-6501 samoensis	1610755
Merismopedia 0BB39S01 glauca	292586
Merismopedia 0BB39S01 punctata	882065
Microcystis PCC-7914 aeruginosa	1126
Microcystis PCC-7914 novacekii	75560
Microcystis PCC-7914 panniformis	513223
Microcystis PCC-7914 smithii	675502
Microcystis PCC-7914 stagnalis	1610760
Microcystis PCC-7914 viridis	44822
Microcystis PCC-7914 wesenbergii	44823
Pleurocapsa PCC-7327 concharum	980867
Snowella 0TU37S04 litoralis	283822
Snowella 0TU37S04 rosea	357279
Synechocystis BDHKU-20401 pevalekii	1392622
Synechocystis CCALA 700 aquatilis	543824
Synechocystis PCC-6803 minuscula	1521623
Synechocystis PCC-6803 pevalekii	1392622
Aetokthonos AEL04 hydrillicola	1550245
Anabaena PCC-7122 cf.	nan
Anabaena PCC-7122 cylindrica	1165
Anabaena PCC-7122 oscillarioides	1173
Ancylothrix 8PC rivularis	2023234
Ancylothrix 8PC terrestris	2023235
Aphanizomenon MDT14a flos-aquae	1176
Aphanizomenon NIES81 cf.	nan
Aphanizomenon NIES81 flos-aquae	1176
Aphanizomenon NIES81 gracile	54296
Calothrix PCC-6303 brevissima	938406
Calothrix PCC-6303 desertica	32056
Chlorogloeopsis PCC-7518 fritschii	1124
Cuspidothrix LMECYA 163 issatschenkoi	230752
Cylindrospermopsis CRJ1 curvispora	747548
Cylindrospermopsis CRJ1 raciborskii	77022
Cylindrospermum PCC-7417 alatosporum	765170
Cylindrospermum PCC-7417 catenatum	1382624
Cylindrospermum PCC-7417 stagnale	142864
Desmonostoc PCC-7422 danxiaense	2315796
Desmonostoc PCC-7422 muscorum	1179
Dolichospermum NIES41 affine	119677
Dolichospermum NIES41 circinale	109265
Dolichospermum NIES41 crassum	136074
Dolichospermum NIES41 ellipsoides	289437
Dolichospermum NIES41 flos-aquae	1166
Dolichospermum NIES41 planctonicum	136072
Dolichospermum NIES41 sigmoideum	264679
Dolichospermum NIES41 smithii	264682
Dolichospermum NIES41 solitarium	119678
Dolichospermum NIES41 spiroides	135104
Ewamiania TS0513 thermalis	1955496
Fischerella PCC-9339 ambigua	56108
Fischerella PCC-9339 major	210993
Fischerella PCC-9339 muscicola	92938
Fischerella PCC-9339 thermalis	372787
Fortiea PCC-7126 contorta	1892405
Gloeotrichia PYH6 echinulata	212360
Gloeotrichia PYH6 pisum	1968535
Gloeotrichia SAG 32.84 longicauda	1521617
Halotia CENA158 wernerae	1620818
Iphinoe LOS-B1 spelaeobios	988938
Mastigocladopsis PCC-10914 repens	221287
Mastigocoleus BC008 testarum	996925
Nodularia PCC-9350 cf.	nan
Nodularia PCC-9350 harveyana	114805
Nodularia PCC-9350 sphaerocarpa	137816
Nodularia PCC-9350 spumigena	70799
Nostoc BDU-40302 calcicola	nan
Nostoc PCC-7107 calcicola	212354
Nostoc PCC-7107 carneum	374162
Nostoc PCC-7107 ellipsosporum	45916
Nostoc PCC-7107 entophytum	211008
Nostoc PCC-7107 minutum	1841509
Nostoc PCC-7107 piscinale	224012
Nostoc PCC-7107 spongiaeforme	502487
Nostoc PCC-7107 verrucosum	633391
Nostoc PCC-73102 caeruleum	1521619
Nostoc PCC-73102 calcicola	212354
Nostoc PCC-73102 cf.	nan
Nostoc PCC-73102 commune	1178
Nostoc PCC-73102 edaphicum	264686
Nostoc PCC-73102 flagelliforme	1306274
Nostoc PCC-73102 linckia	92942
Nostoc PCC-73102 minutum	1841509
Nostoc PCC-73102 piscinale	224012
Nostoc PCC-73102 pruniforme	1521620
Nostoc PCC-73102 punctiforme	272131
Nostoc PCC-73102 sphaericum	217115
Nostoc PCC-73102 sphaeroides	446679
