D_6__Abies homolepis	78261
D_6__Abiotrophia sp. oral clone OH2A	319434
D_6__Abolboda macrostachya	202384
D_6__Acanthamoeba sp.	5756
D_6__Acanthogorgia aspera	1157909
D_6__Acanthopleuribacter pedis	442870
D_6__Acaryochloris sp. JJ7-5	442390
D_6__Acaryochloris sp. JJ8A6	442391
D_6__Acetanaerobacterium elongatum	258515
D_6__Acetitomaculum ruminis	2382
D_6__Acetivibrio cellulolyticus	35830
D_6__Acetivibrio ethanolgignens	290052
D_6__Acetivibrio sp. 6-13	936073
D_6__Acetivibrio sp. Fer_16	1433526
D_6__Acetoanaerobium sticklandii	1511
D_6__Acetobacteraceae bacterium	1909293
D_6__Acetobacteraceae bacterium 6_6_1O2	1459180
D_6__Acetobacteraceae bacterium AaMG19	681155
D_6__Acetobacteraceae bacterium D2B06	1560983
D_6__Acetobacteraceae bacterium H14_7_2SCO2	1459208
D_6__Acetobacteraceae bacterium IA_FO_13	1633743
D_6__Acetobacteraceae bacterium L1B37	1560989
D_6__Acetobacteraceae bacterium LX45	1391514
D_6__Acetobacteraceae bacterium MP03	360052
D_6__Acetobacteraceae bacterium PAMC 26569	1484109
D_6__Acetobacteraceae bacterium SASB-13	231525
D_6__Acetobacteraceae bacterium W1.09-37	1341547
D_6__Acetobacteraceae bacterium WX59	1387375
D_6__Acetobacter aceti	435
D_6__Acetobacter estunensis	104097
D_6__Acetobacter indonesiensis	104101
D_6__Acetobacterium sp. enrichment culture clone 06-1235251-102	1141765
D_6__Acetobacterium sp. enrichment culture clone 06-1235251-118	1141768
D_6__Acetobacterium sp. enrichment culture clone 06-1235251-70	1141792
D_6__Acetobacterium sp. enrichment culture clone MB2_224	499069
D_6__Acetobacterium sp. HAAP-1	188565
D_6__Acetobacterium sp. HAWD4	1812853
D_6__Acetobacterium sp. LS2	394287
D_6__Acetobacterium submarinus	258721
D_6__Acetobacter lovaniensis	104100
D_6__Acetobacter nitrogenifigens	285268
D_6__Acetobacter oeni	304077
D_6__Acetobacter okinawensis	1076594
D_6__Acetobacter orientalis	146474
D_6__Acetobacter orleanensis	104099
D_6__Acetobacter pasteurianus	438
D_6__Acetobacter pasteurianus	940260
D_6__Acetobacter senegalensis	446692
D_6__Acetobacter sp. 7(2010)	867687
D_6__Acetobacter sp. 9(2010)	867688
D_6__Acetobacter sp. JG-2009	650352
D_6__Acetobacter sp. PG-2009	667111
D_6__Acetobacter sp. SRT1	1243155
D_6__Acetobacter sp. THK-12.3	1534505
D_6__Acetobacter sp. VTH-AE75	1769149
D_6__Acetobacter sp. Z(2010)	867690
D_6__Acetobacter syzygii	146476
D_6__Acetobacter tropicalis	104102
D_6__Acetohalobium arabaticum	28187
D_6__Acetonema sp. DSM 11382	1322049
D_6__Acetothermia bacterium SCGC AAA255-C06	1046991
D_6__Achipteria coleoptrata	229769
D_6__Achnanthes brevipes	265541
D_6__Acholeplasma brassicae	61635
D_6__Acholeplasma cavigenitalium	264633
D_6__Acholeplasma laidlawii	2148
D_6__Acholeplasma multilocale	264638
D_6__Acholeplasma oculi	35623
D_6__Acholeplasma palmae	38986
D_6__Acholeplasma parvum	264639
D_6__Acholeplasma pleciae	228419
D_6__Acholeplasma sp. enrichment culture	1718443
D_6__Acholeplasma sp. enrichment culture clone 12-7C	512704
D_6__Acholeplasma sp. N93	555393
D_6__Acholeplasmatales bacterium canine oral taxon 316	1151606
D_6__Acholeplasmatales bacterium canine oral taxon 375	1151607
D_6__Acholeplasma vituli	69473
D_6__Achromatium minus	81840
D_6__Achromatium oxaliferum	44938
D_6__Achromatium sp. HK13	94735
D_6__Achromatium sp. JD1	94726
D_6__Achromatium sp. JD8	94728
D_6__Achromatium sp. WMS2	1604835
D_6__Achromobacter aegrifaciens	1287736
D_6__Achromobacter animicus	1389935
D_6__Achromobacter arsenitoxydans	1147684
D_6__Achromobacter cholinophagum	1114982
D_6__Achromobacter insolitus	217204
D_6__Achromobacter marplatensis	470868
D_6__Achromobacter piechaudii	72556
D_6__Achromobacter ruhlandii	72557
D_6__Achromobacter sp.	134375
D_6__Achromobacter sp. 39.02	674486
D_6__Achromobacter sp. 3HB-2o	1754016
D_6__Achromobacter sp. 3HV-2	1754018
D_6__Achromobacter sp. 4122	611288
D_6__Achromobacter sp. 58-38	1337938
D_6__Achromobacter sp. A-13	279264
D_6__Achromobacter sp. AB2	1163479
D_6__Achromobacter sp. AB3	1163480
D_6__Achromobacter sp. ACH01	1781232
D_6__Achromobacter sp. AM-H14	1636710
D_6__Achromobacter spanius	217203
D_6__Achromobacter sp. AVBM SMBS	1220772
D_6__Achromobacter sp. BV11	1749081
D_6__Achromobacter sp. c152	646340
D_6__Achromobacter sp. C2	676605
D_6__Achromobacter sp. c276	646341
D_6__Achromobacter sp. CL-11.4b	879200
D_6__Achromobacter sp. enrichment culture clone ECC4-2	685333
D_6__Achromobacter sp. enrichment culture clone NSS3-3	1490010
D_6__Achromobacter sp. FZ49	1419759
D_6__Achromobacter sp. G10	1355402
D_6__Achromobacter sp. GIST-SW8	443079
D_6__Achromobacter sp. GY30	1506605
D_6__Achromobacter sp. I_45-J6PA12A	1172488
D_6__Achromobacter sp. ISA3	983312
D_6__Achromobacter sp. JSK4	751889
D_6__Achromobacter sp. MJAU D0027	1771204
D_6__Achromobacter sp. MTCC 11931	1463363
D_6__Achromobacter sp. NIHHS122	1806023
D_6__Achromobacter sp. NS014	1036163
D_6__Achromobacter sp. PW-1	405675
D_6__Achromobacter sp. PYD-5	551300
D_6__Achromobacter sp. RD_MATFA_09	1792917
D_6__Achromobacter sp. SA1	1569870
D_6__Achromobacter sp. SCD	589532
D_6__Achromobacter sp. TA12-A	871572
D_6__Achromobacter sp. UR 7-01	1533941
D_6__Achromobacter sp. V1	1683984
D_6__Achromobacter sp. YNUTCM YJ221	1761982
D_6__Achromobacter xylosoxidans NH44784-1996	1167634
D_6__Achromobacter xylosoxidans subsp. xylosoxidans	85698
D_6__Acidaminobacter hydrogenoformans	65403
D_6__Acidaminococcus fermentans	905
D_6__Acidianus ambivalens	2283
D_6__Acidianus brierleyi	41673
D_6__Acidianus convivator	269667
D_6__Acidianus manzaensis	282676
D_6__Acidianus sp. Acii18	315459
D_6__Acidianus sp. Acii19	315462
D_6__Acidianus sp. BT	513519
D_6__Acidianus sulfidivorans JP7	619593
D_6__Acidibacillus ferrooxidans	1765683
D_6__Acidibacter ferrireducens	1229656
D_6__Acidicaldus sp. MK6	1138307
D_6__Acidicapsa acidisoli	1615681
D_6__Acidicapsa borealis	946336
D_6__Acidicapsa ligni	542300
D_6__Acidicapsa sp. CE1	1078845
D_6__Acidihalobacter ferrooxidans	1765967
D_6__Acidihalobacter prosperus	160660
D_6__Acidilobus aceticus	105851
D_6__Acidimicrobidae bacterium YM18-244	467092
D_6__Acidimicrobium ferrooxidans DSM 10331	525909
D_6__Acidimicrobium sp. Y0018	209652
D_6__Acidiphilium acidophilum	76588
D_6__Acidiphilium angustum	523
D_6__Acidiphilium cryptum	524
D_6__Acidiphilium sp. 3.2(1)	556478
D_6__Acidiphilium sp.	527
D_6__Acidiphilium sp. Ac-4	1416884
D_6__Acidiphilium sp. Ac-5	1416885
D_6__Acidiphilium sp. ML2-64	340726
D_6__Acidiphilium sp. MPH2	159406
D_6__Acidiphilium sp. MPH3	159407
D_6__Acidiphilium sp. SY23	642124
D_6__Acidiphilium sp. SY24	642125
D_6__Acidiphilium sp. SY41	642126
D_6__Acidiphilium sp. SY43	642127
D_6__Acidiphilium sp. Z-16	915060
D_6__Acidipila dinghuensis	1560006
D_6__Acidipila rosea	768535
D_6__Acidipropionibacterium jensenii	1749
D_6__Acidisoma sibiricum	512383
D_6__Acidisoma tundrae	512382
D_6__Acidisphaera sp. NO-15	160813
D_6__Acidithiobacillales bacterium SM1_46	1703384
D_6__Acidithiobacillus albertensis	119978
D_6__Acidithiobacillus cuprithermicus	100486
D_6__Acidithiobacillus ferridurans	1232575
D_6__Acidithiobacillus ferrooxidans	920
D_6__Acidithiobacillus sp.	1872118
D_6__Acidithiobacillus sp. CASQ22	280598
D_6__Acidithiobacillus sp. FJ2	1665428
D_6__Acidithiobacillus sp. ORCS6	304721
D_6__Acidithiobacillus sp. TSK-3	393800
D_6__Acidithiobacillus sp. YP-5	463203
D_6__Acidithiobacillus thiooxidans	930
D_6__Acidobacteria bacterium 13_2_20CM_56_17	1803463
D_6__Acidobacteria bacterium 28-9	1962176
D_6__Acidobacteria bacterium AB158	1230842
D_6__Acidobacteria bacterium AB39	1230845
D_6__Acidobacteria bacterium AB60	1230846
D_6__Acidobacteria bacterium Ac_11_E3	1458336
D_6__Acidobacteria bacterium Ac_16_C4	1603870
D_6__Acidobacteria bacterium CCO287	936891
D_6__Acidobacteria bacterium CHC25	678867
D_6__Acidobacteria bacterium CU2	998188
D_6__Acidobacteria bacterium DG1540	1337833
D_6__Acidobacteria bacterium Ellin7246	305088
D_6__Acidobacteria bacterium enrichment culture clone CV-08	1162038
D_6__Acidobacteria bacterium enrichment culture clone SC-2 (3.2)	1291566
D_6__Acidobacteria bacterium Ga0074141	1752182
D_6__Acidobacteria bacterium IGE-010	755187
D_6__Acidobacteria bacterium IGE-011	755183
D_6__Acidobacteria bacterium JGI 0001001-H03	1235986
D_6__Acidobacteria bacterium KBS 3	639031
D_6__Acidobacteria bacterium LWQ13	1387458
D_6__Acidobacteria bacterium LX128	1387460
D_6__Acidobacteria bacterium LX219	1391517
D_6__Acidobacteria bacterium LX3	1387461
D_6__Acidobacteria bacterium Mor1	1660251
D_6__Acidobacteria bacterium RBG_13_68_16	1797171
